날짜,요일,홈,방문,구장,관중수
2025/08/27,수,두산,삼성,잠실,"21,198"
2025/08/28,목,키움,한화,고척,"16,000"
2025/08/28,목,SSG,KIA,문학,"17,833"
2025/08/28,목,롯데,KT,사직,"17,273"
2025/08/28,목,NC,LG,창원,"9,528"
2025/08/28,목,두산,삼성,잠실,"23,126"
2025/08/29,금,KT,KIA,수원,"18,700"
2025/08/29,금,SSG,NC,문학,"11,509"
2025/08/29,금,롯데,두산,사직,"19,473"
2025/08/29,금,한화,삼성,대전,"17,000"
2025/08/29,금,LG,키움,잠실,"22,231"
2025/08/30,토,KT,KIA,수원,"18,700"
2025/08/30,토,SSG,NC,문학,"20,449"
2025/08/30,토,롯데,두산,사직,"22,669"
2025/08/30,토,한화,삼성,대전,"17,000"
2025/08/30,토,LG,키움,잠실,"23,750"
2025/08/31,일,KT,KIA,수원,"18,700"
2025/08/31,일,SSG,NC,문학,"13,129"
2025/08/31,일,롯데,두산,사직,"20,350"
2025/08/31,일,한화,삼성,대전,"17,000"
2025/08/31,일,LG,키움,잠실,"22,503"
2025/09/02,화,한화,KIA,대전,"16,730"
2025/09/02,화,LG,롯데,잠실,"23,750"
2025/09/02,화,KT,NC,수원,"6,710"
2025/09/02,화,SSG,키움,문학,"11,112"
2025/09/03,수,KT,롯데,수원,"14,910"
2025/09/03,수,한화,NC,대전,"17,000"
2025/09/03,수,KIA,SSG,광주,"14,468"
2025/09/03,수,삼성,키움,대구,"22,446"
2025/09/04,목,KT,LG,수원,"12,424"
2025/09/04,목,NC,두산,창원,"5,335"
2025/09/05,금,SSG,롯데,문학,"21,529"
2025/09/05,금,NC,두산,창원,"6,590"
2025/09/05,금,삼성,키움,대구,"24,000"
2025/09/06,토,삼성,한화,대구,"24,000"
2025/09/06,토,NC,KIA,창원,"15,040"
2025/09/07,일,삼성,한화,대구,"24,000"
2025/09/07,일,NC,KIA,창원,"11,095"
2025/09/07,일,LG,SSG,잠실,"23,750"
2025/09/09,화,롯데,한화,사직,"18,109"
2025/09/09,화,키움,LG,고척,"14,773"
2025/09/09,화,KT,두산,수원,"12,252"
2025/09/10,수,롯데,한화,사직,"22,011"
2025/09/10,수,두산,LG,잠실,"17,856"
2025/09/10,수,NC,SSG,창원,"4,514"
2025/09/10,수,KIA,삼성,광주,"9,793"
2025/09/11,목,LG,KT,잠실,"20,722"
2025/09/11,목,KIA,롯데,광주,"9,614"
2025/09/11,목,키움,NC,고척,"7,035"
2025/09/11,목,삼성,SSG,대구,"24,000"
2025/09/12,금,KIA,두산,광주,"9,617"
2025/09/13,토,LG,KIA,잠실,"23,750"
2025/09/13,토,삼성,KT,대구,"24,000"
2025/09/13,토,NC,두산,창원,"12,658"
2025/09/13,토,롯데,SSG,사직,"22,669"
2025/09/13,토,한화,키움,대전,"17,000"
2025/09/14,일,LG,KIA,잠실,"23,750"
2025/09/14,일,삼성,KT,대구,"24,000"
2025/09/14,일,NC,두산,창원,"11,711"
2025/09/14,일,한화,키움,대전,"17,000"
2025/09/15,월,한화,키움,대전,"17,000"
2025/09/16,화,KIA,한화,광주,"9,197"
2025/09/16,화,KT,LG,수원,"11,481"
2025/09/16,화,삼성,롯데,대구,"24,000"
2025/09/16,화,NC,SSG,창원,"5,145"
2025/09/16,화,두산,키움,잠실,"12,716"
2025/09/17,수,KIA,한화,광주,"6,782"
2025/09/17,수,NC,SSG,창원,"5,083"
2025/09/17,수,두산,키움,잠실,"10,037"
2025/09/18,목,KIA,한화,광주,"10,841"
2025/09/18,목,KT,LG,수원,"7,016"
2025/09/18,목,KT,LG,수원,"14,875"
2025/09/18,목,NC,삼성,창원,"12,039"
2025/09/18,목,두산,키움,잠실,"13,498"
2025/09/19,금,NC,롯데,창원,"17,983"
2025/09/20,토,KT,한화,수원,"18,700"
2025/09/20,토,KIA,NC,광주,"17,739"
2025/09/20,토,SSG,두산,문학,"23,000"
2025/09/20,토,LG,삼성,잠실,"23,750"
2025/09/20,토,롯데,키움,사직,"22,669"
2025/09/21,일,KIA,NC,광주,"13,805"
2025/09/21,일,SSG,두산,문학,"23,000"
2025/09/21,일,KT,삼성,수원,"18,700"
2025/09/22,월,SSG,두산,문학,"13,067"
2025/09/23,화,SSG,KIA,문학,"19,974"
2025/09/23,화,롯데,NC,울산,"9,690"
2025/09/23,화,삼성,두산,대구,"23,950"
2025/09/23,화,KT,키움,수원,"12,632"
2025/09/24,수,키움,KIA,고척,"16,000"
2025/09/24,수,NC,LG,창원,"10,764"
2025/09/24,수,삼성,롯데,대구,"23,940"
2025/09/25,목,두산,한화,잠실,"23,750"
2025/09/25,목,SSG,KT,문학,"15,279"
2025/09/25,목,롯데,LG,울산,"9,315"
2025/09/25,목,삼성,키움,대구,"23,089"
2025/09/26,금,SSG,KT,문학,"19,087"
2025/09/26,금,한화,LG,대전,"17,000"
2025/09/26,금,두산,NC,잠실,"18,418"
2025/09/26,금,롯데,삼성,사직,"22,669"
2025/09/27,토,한화,LG,대전,"17,000"
2025/09/27,토,KIA,NC,광주,"14,945"
2025/09/27,토,두산,SSG,잠실,"23,750"
2025/09/28,일,두산,롯데,잠실,"23,750"
2025/09/28,일,키움,삼성,고척,"16,000"
2025/09/29,월,한화,LG,대전,"17,000"
2025/09/29,월,SSG,롯데,문학,"22,184"
2025/09/29,월,KIA,NC,광주,"3,634"
2025/09/30,화,삼성,KIA,대구,"23,933"
2025/09/30,화,NC,KT,창원,"14,235"
2025/09/30,화,한화,롯데,대전,"17,000"
2025/09/30,화,LG,두산,잠실,"23,750"
2025/09/30,화,키움,SSG,고척,"16,000"
2025/10/01,수,SSG,한화,문학,"23,000"
2025/10/01,수,KIA,KT,광주,"6,777"
2025/10/01,수,LG,NC,잠실,"23,750"
2025/10/02,목,KIA,SSG,광주,"8,043"
2025/10/03,금,KT,한화,수원,"18,700"
2025/10/04,토,NC,SSG,창원,"17,983"
2025/10/04,토,KIA,삼성,광주,"17,513"
